dinosaurio,tokens
aachenosaurus,a a cheno sauru s </EOW>
aardonyx,a ar don y x </EOW>
abdallahsaurus,ab dal la h sauru s </EOW>
abelisaurus,abelisauru s </EOW>
abrictosaurus,ab ri c to sauru s </EOW>
abrosaurus,ab ro sauru s </EOW>
abydosaurus,aby do sauru s </EOW>
acanthopholis,a can thopho lis </EOW>
achelousaurus,a chelo u sauru s </EOW>
acheroraptor,a cherora p tor </EOW>
achillesaurus,a chil le sauru s </EOW>
achillobator,a chil lo bator </EOW>
acristavus,a crista vu s </EOW>
acrocanthosaurus,a cro can tho sauru s </EOW>
acrotholus,a cro tho lu s </EOW>
actiosaurus,a c ti o sauru s </EOW>
adamantisaurus,a daman tisauru s </EOW>
adasaurus,a da sauru s </EOW>
adelolophus,a delo lophu s </EOW>
adeopapposaurus,a deopa p po sauru s </EOW>
aegyptosaurus,ae g yp to sauru s </EOW>
aeolosaurus,aeo lo sauru s </EOW>
aepisaurus,aepisauru s </EOW>
aepyornithomimus,ae pyornitho mi mu s </EOW>
aerosteon,aero steon </EOW>
aetonyxafromimus,ae ton y xa f ro mi mu s </EOW>
afrovenator,a f ro venator </EOW>
agathaumas,agathau ma s </EOW>
aggiosaurus,ag gi o sauru s </EOW>
agilisaurus,agilisauru s </EOW>
agnosphitys,ag no sphi ty s </EOW>
agrosaurus,ag ro sauru s </EOW>
agujaceratops,agu ja ceratop s </EOW>
agustinia,agu stinia </EOW>
ahshislepelta,a h shis lepelta </EOW>
airakoraptor,a i ra kora p tor </EOW>
ajancingenia,a jan cin genia </EOW>
ajkaceratops,a j ka ceratop s </EOW>
alamosaurus,alamo sauru s </EOW>
alaskacephale,ala s ka cephale </EOW>
albalophosaurus,al balopho sauru s </EOW>
albertaceratops,alberta ceratop s </EOW>
albertadromeus,alberta dro meu s </EOW>
albertavenator,alberta venator </EOW>
albertonykus,alber ton y ku s </EOW>
albertosaurus,alber to sauru s </EOW>
albinykus,al bin y ku s </EOW>
albisaurus,al bisauru s </EOW>
alcovasaurus,al co va sauru s </EOW>
alectrosaurus,ale c tro sauru s </EOW>
aletopelta,ale topelta </EOW>
algoasaurus,al go a sauru s </EOW>
alioramus,ali oramu s </EOW>
aliwalia,ali walia </EOW>
allosaurus,al lo sauru s </EOW>
almas,al ma s </EOW>
alnashetri,al na she tri </EOW>
alocodon,alo co don </EOW>
altirhinus,al ti r hin u s </EOW>
altispinax,al tispina x </EOW>
alvarezsaurus,al vare z sauru s </EOW>
alwalkeria,al wal keria </EOW>
alxasaurus,al xa sauru s </EOW>
amargasaurus,amar ga sauru s </EOW>
amargastegos,amar ga stego s </EOW>
amargatitanis,amar gatitanis </EOW>
amazonsaurus,ama z on sauru s </EOW>
ammosaurus,am mo sauru s </EOW>
ampelosaurus,ampelo sauru s </EOW>
amphicoelias,amphi co elia s </EOW>
amphicoelicaudia,amphi co eli cau dia </EOW>
amphisaurus,amphisauru s </EOW>
