paso,merge,token_resultante,frecuencia
1,s + </w>,s</w>,1066
2,u + s</w>,us</w>,914
3,u + r,ur,816
4,s + a,sa,784
5,sa + ur,saur,746
6,saur + us</w>,saurus</w>,706
7,o + saurus</w>,osaurus</w>,425
8,a + n,an,334
9,o + n,on,267
10,r + a,ra,222
11,t + o,to,216
12,c + h,ch,166
13,e + n,en,138
14,i + a,ia,138
15,i + n,in,137
16,a + l,al,122
17,r + o,ro,113
18,c + e,ce,110
19,e + l,el,104
20,t + a,ta,98
21,d + on,don,90
22,to + r,tor,89
23,ia + </w>,ia</w>,86
24,t + e,te,85
25,t + h,th,83
26,tor + </w>,tor</w>,82
27,p + h,ph,77
28,a + r,ar,75
29,p + s</w>,ps</w>,75
30,ce + ra,cera,74
31,don + </w>,don</w>,70
32,i + saurus</w>,isaurus</w>,69
33,o + r,or,69
34,to + ps</w>,tops</w>,68
35,cera + tops</w>,ceratops</w>,67
36,m + a,ma,61
37,t + i,ti,58
38,o + don</w>,odon</w>,57
39,l + a,la,54
40,c + o,co,52
41,on + g,ong,52
42,p + tor</w>,ptor</w>,49
43,l + o,lo,47
44,e + r,er,46
45,a + saurus</w>,asaurus</w>,45
46,s + h,sh,44
47,l + e,le,42
48,m + i,mi,42
49,n + i,ni,41
50,s + u,su,38
51,g + osaurus</w>,gosaurus</w>,37
52,r + i,ri,36
53,ti + tan,titan,36
54,u + saurus</w>,usaurus</w>,35
55,en + a,ena,35
56,l + i,li,34
57,titan + </w>,titan</w>,34
58,x + </w>,x</w>,33
59,o + p,op,33
60,u + an,uan,33
61,v + ena,vena,31
62,s + p,sp,31
63,c + a,ca,31
64,s + t,st,31
65,u + n,un,30
66,d + e,de,29
67,vena + tor</w>,venator</w>,29
68,p + a,pa,29
69,d + a,da,28
70,s + i,si,28
71,e + o,eo,27
72,n + a,na,27
73,ch + us</w>,chus</w>,27
74,th + o,tho,26
75,e + i,ei,26
76,long + </w>,long</w>,26
77,m + us</w>,mus</w>,25
78,h + u,hu,25
79,h + a,ha,24
80,g + o,go,23
81,b + a,ba,22
82,su + chus</w>,suchus</w>,22
83,d + y,dy,22
84,d + i,di,22
85,p + ro,pro,22
86,y + x</w>,yx</w>,21
87,l + us</w>,lus</w>,21
88,y + p,yp,21
89,mi + mus</w>,mimus</w>,21
90,m + e,me,21
91,or + ni,orni,20
92,t + y,ty,20
93,g + a,ga,19
94,m + o,mo,19
95,ch + i,chi,18
96,d + ro,dro,18
97,ra + ptor</w>,raptor</w>,18
98,e + u,eu,18
99,el + ta,elta,17
100,elta + </w>,elta</w>,17
101,o + ceratops</w>,oceratops</w>,17
102,g + na,gna,17
103,d + o,do,16
104,h + o,ho,16
105,k + a,ka,15
106,b + i,bi,15
107,ch + y,chy,15
108,h + e,he,15
109,g + i,gi,14
110,ter + yx</w>,teryx</w>,14
111,v + i,vi,14
112,sp + on,spon,14
113,spon + dy,spondy,14
114,p + i,pi,14
115,j + ian,jian,14
116,n + o,no,13
117,de + s</w>,des</w>,13
118,spondy + lus</w>,spondylus</w>,13
119,c + ro,cro,12
120,ty + ran,tyran,12
121,saura + </w>,saura</w>,12
122,b + ra,bra,12
123,n + e,ne,12
124,r + u,ru,12
125,y + an,yan,12
126,l + u,lu,12
127,k + u,ku,12
128,g + u,gu,11
129,ce + phale,cephale,11
130,cephale + </w>,cephale</w>,11
131,m + p,mp,11
132,q + u,qu,11
