dinosaurio,tokens
aachenosaurus,a a cheno sauru s </W>
aardonyx,a ar don y x </W>
abdallahsaurus,ab dal la h sauru s </W>
abelisaurus,abelisauru s </W>
abrictosaurus,ab ri c to sauru s </W>
abrosaurus,ab ro sauru s </W>
abydosaurus,aby do sauru s </W>
acanthopholis,a can thopho lis </W>
achelousaurus,a chelo u sauru s </W>
acheroraptor,a cherora p tor </W>
achillesaurus,a chil le sauru s </W>
achillobator,a chil lo bator </W>
acristavus,a crista vu s </W>
acrocanthosaurus,a cro can tho sauru s </W>
acrotholus,a cro tho lu s </W>
actiosaurus,a c ti o sauru s </W>
adamantisaurus,a daman tisauru s </W>
adasaurus,a da sauru s </W>
adelolophus,a delo lophu s </W>
adeopapposaurus,a deopa p po sauru s </W>
aegyptosaurus,ae g yp to sauru s </W>
aeolosaurus,aeo lo sauru s </W>
aepisaurus,aepisauru s </W>
aepyornithomimus,ae pyornitho mi mu s </W>
aerosteon,aero steon </W>
aetonyxafromimus,ae ton y xa f ro mi mu s </W>
afrovenator,a f ro venator </W>
agathaumas,agathau ma s </W>
aggiosaurus,ag gi o sauru s </W>
agilisaurus,agilisauru s </W>
agnosphitys,ag no sphi ty s </W>
agrosaurus,ag ro sauru s </W>
agujaceratops,agu ja ceratop s </W>
agustinia,agu stinia </W>
ahshislepelta,a h shis lepelta </W>
airakoraptor,a i ra kora p tor </W>
ajancingenia,a jan cin genia </W>
ajkaceratops,a j ka ceratop s </W>
alamosaurus,alamo sauru s </W>
alaskacephale,ala s ka cephale </W>
albalophosaurus,al balopho sauru s </W>
albertaceratops,alberta ceratop s </W>
albertadromeus,alberta dro meu s </W>
albertavenator,alberta venator </W>
albertonykus,alber ton y ku s </W>
albertosaurus,alber to sauru s </W>
albinykus,al bin y ku s </W>
albisaurus,al bisauru s </W>
alcovasaurus,al co va sauru s </W>
alectrosaurus,ale c tro sauru s </W>
aletopelta,ale topelta </W>
algoasaurus,al go a sauru s </W>
alioramus,ali oramu s </W>
aliwalia,ali walia </W>
allosaurus,al lo sauru s </W>
almas,al ma s </W>
alnashetri,al na she tri </W>
alocodon,alo co don </W>
altirhinus,al ti r hin u s </W>
altispinax,al tispina x </W>
alvarezsaurus,al vare z sauru s </W>
alwalkeria,al wal keria </W>
alxasaurus,al xa sauru s </W>
amargasaurus,amar ga sauru s </W>
amargastegos,amar ga stego s </W>
amargatitanis,amar gatitanis </W>
amazonsaurus,ama z on sauru s </W>
ammosaurus,am mo sauru s </W>
ampelosaurus,ampelo sauru s </W>
amphicoelias,amphi co elia s </W>
amphicoelicaudia,amphi co eli cau dia </W>
amphisaurus,amphisauru s </W>
amtocephale,am to cephale </W>
amtosaurus,am to sauru s </W>
amurosaurus,amuro sauru s </W>
amygdalodon,am y g dalo don </W>
anabisetia,anabise tia </W>
anasazisaurus,ana sa z isauru s </W>
anatosaurus,anato sauru s </W>
anatotitan,anato titan </W>
anchiceratops,an chi ceratop s </W>
anchiornis,an chi ornis </W>
anchisaurus,an chisauru s </W>
andesaurus,an de sauru s </W>
andhrasaurus,an d h ra sauru s </W>
